#START#1363775900
0,28;0,06;12,5
0,04;-0,35;9,97
-0,22;-0,77;8,11
-0,48;-1,1;7,14
-0,72;-1,13;7,1
-0,64;-0,94;7,87
-0,53;-0,67;8,73
-0,41;-0,34;9,32
-0,43;0,09;9,34
-0,57;0,54;9,03
-0,72;0,92;8,42
-0,88;1,3;7,91
-1,06;1,53;7,56
-1,26;1,79;7,54
-1,38;2,03;7,66
-1,53;2,16;7,82
-1,63;2,22;7,97
-1,66;2,28;8,21
-1,6;2,29;8,63
-1,49;2,39;8,88
-1,37;2,39;9
-1,1;2,37;8,9
-0,8;2,22;9,1
-0,58;1,88;9,69
-0,47;1,72;10,52
-0,48;1,57;11,46
-0,59;1,76;12,29
0,48;2,59;12,83
1,03;2,14;13,31
1,51;1,44;14
1,27;0,32;14,14
0,23;-1,4;13,58
1,26;-1,32;12,42
1,94;-1,71;10,97
2,23;-1,23;9,34
1,8;-0,62;8,61
1;-0,19;8,48
0,27;0,23;8,35
-0,48;0,55;8,07
-0,92;0,82;7,73
-1,11;1,2;7,63
-0,96;1,59;7,7
-0,65;1,95;7,83
-0,47;2,12;8,12
-0,21;1,98;8,31
-0,1;2,02;8,61
0,03;1,93;8,65
0,04;1,95;8,71
0,01;2,15;8,58
0,01;2,36;8,63
-0,04;2,58;8,76
-0,04;2,62;8,94
-0,17;2,55;9,14
-0,14;2,23;9,59
0,01;2,05;10,04
0,22;1,87;10,61
0,5;1,77;11,4
0,57;1,82;13,69
0,12;0,88;14,81
-0,57;0,54;15,5
-0,29;0,64;15,28
-0,11;0,79;13,85
-0,11;0,61;11,59
-0,37;0,24;9,47
-0,65;-0,12;8,23
-0,84;-0,06;7,85
-0,97;0,04;7,79
-0,9;0,08;7,71
-0,74;0,2;7,74
-0,61;0,32;7,7
-0,68;0,55;7,55
-0,9;0,83;7,3
-1,18;1,13;6,99
-1,34;1,33;6,83
-1,46;1,67;6,9
-1,6;2;7,23
-1,79;2,33;7,65
-1,8;2,49;8,12
-1,74;2,67;8,6
